SCENARIO_NUM,TRIAL_MEAN,TRIAL_SD,VIS_REP,VIS_TYPE,JUDGEMENT,JUDGEMENT_DIRECTION,SKEW,VIS_INFO,BLOCK,true_value,sample_mean,sample_median,sample_mode,sample_SD,sample_IQR,judgement_value
2,33,0.3,Graphical,Median,Pre,-0.3,Symmetrical,2_Graphical_Median-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Mean_SD,Pre,-0.3,Symmetrical,2_Graphical_Standard_Deviation-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Boxplot,Pre,-0.3,Symmetrical,2_Graphical_Quantiles-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Violin,Pre,-0.3,Symmetrical,2_Graphical_Violin-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Median,Post,-0.3,Symmetrical,2_Graphical_Median-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Mean_SD,Post,-0.3,Symmetrical,2_Graphical_Standard_Deviation-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Boxplot,Post,-0.3,Symmetrical,2_Graphical_Quantiles-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Violin,Post,-0.3,Symmetrical,2_Graphical_Violin-0.3.png,1,43,34.72,34.5,29,9.317615531,12.75,28
2,33,0.3,Graphical,Median,Pre,0.3,Symmetrical,2_Graphical_Median0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Mean_SD,Pre,0.3,Symmetrical,2_Graphical_Standard_Deviation0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Boxplot,Pre,0.3,Symmetrical,2_Graphical_Quantiles0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Violin,Pre,0.3,Symmetrical,2_Graphical_Violin0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Median,Post,0.3,Symmetrical,2_Graphical_Median0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Mean_SD,Post,0.3,Symmetrical,2_Graphical_Standard_Deviation0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Boxplot,Post,0.3,Symmetrical,2_Graphical_Quantiles0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
2,33,0.3,Graphical,Violin,Post,0.3,Symmetrical,2_Graphical_Violin0.3.png,1,16,34.72,34.5,29,9.317615531,12.75,43
3,79,0.1,Graphical,Median,Pre,-0.3,Symmetrical,3_Graphical_Median-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Mean_SD,Pre,-0.3,Symmetrical,3_Graphical_Standard_Deviation-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Boxplot,Pre,-0.3,Symmetrical,3_Graphical_Quantiles-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Violin,Pre,-0.3,Symmetrical,3_Graphical_Violin-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Median,Post,-0.3,Symmetrical,3_Graphical_Median-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Mean_SD,Post,-0.3,Symmetrical,3_Graphical_Standard_Deviation-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Boxplot,Post,-0.3,Symmetrical,3_Graphical_Quantiles-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Violin,Post,-0.3,Symmetrical,3_Graphical_Violin-0.3.png,1,75,78.46,78.5,85,8.718289478,11,72
3,79,0.1,Graphical,Median,Pre,0.3,Symmetrical,3_Graphical_Median0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Mean_SD,Pre,0.3,Symmetrical,3_Graphical_Standard_Deviation0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Boxplot,Pre,0.3,Symmetrical,3_Graphical_Quantiles0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Violin,Pre,0.3,Symmetrical,3_Graphical_Violin0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Median,Post,0.3,Symmetrical,3_Graphical_Median0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Mean_SD,Post,0.3,Symmetrical,3_Graphical_Standard_Deviation0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Boxplot,Post,0.3,Symmetrical,3_Graphical_Quantiles0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
3,79,0.1,Graphical,Violin,Post,0.3,Symmetrical,3_Graphical_Violin0.3.png,1,81,78.46,78.5,85,8.718289478,11,85
4,79,0.3,Graphical,Median,Pre,-0.3,Symmetrical,4_Graphical_Median-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Mean_SD,Pre,-0.3,Symmetrical,4_Graphical_Standard_Deviation-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Boxplot,Pre,-0.3,Symmetrical,4_Graphical_Quantiles-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Violin,Pre,-0.3,Symmetrical,4_Graphical_Violin-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Median,Post,-0.3,Symmetrical,4_Graphical_Median-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Mean_SD,Post,-0.3,Symmetrical,4_Graphical_Standard_Deviation-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Boxplot,Post,-0.3,Symmetrical,4_Graphical_Quantiles-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Violin,Post,-0.3,Symmetrical,4_Graphical_Violin-0.3.png,1,60,73.82,73.5,58,21.93095846,31.5,56
4,79,0.3,Graphical,Median,Pre,0.3,Symmetrical,4_Graphical_Median0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Mean_SD,Pre,0.3,Symmetrical,4_Graphical_Standard_Deviation0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Boxplot,Pre,0.3,Symmetrical,4_Graphical_Quantiles0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Violin,Pre,0.3,Symmetrical,4_Graphical_Violin0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Median,Post,0.3,Symmetrical,4_Graphical_Median0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Mean_SD,Post,0.3,Symmetrical,4_Graphical_Standard_Deviation0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Boxplot,Post,0.3,Symmetrical,4_Graphical_Quantiles0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
4,79,0.3,Graphical,Violin,Post,0.3,Symmetrical,4_Graphical_Violin0.3.png,1,91,73.82,73.5,58,21.93095846,31.5,93
